X1 ,X2,X3,Y
745,880,699,458264400
975,763,217,161431725
697,23,134,2148154
328,260,57,4860960
470,811,732,279016440
961,5,898,4314890
557,433,916,220921796
687,737,609,308348271
108,178,545,10477080
283,429,637,77336259
943,620,342,199953720
465,115,376,20106600
503,763,394,151212866
413,980,952,385312480
85,831,940,66396900
500,942,202,95142000
511,829,709,300345871
371,464,952,163881088
805,195,209,32807775
322,274,467,41202476
561,99,132,7331148
661,233,717,110427321
743,59,709,31080433
839,106,220,19565480
8,224,121,216832
690,609,407,171025470
221,761,629,105785849
564,169,673,64147668
761,190,11,1590490
67,991,575,38178275
487,298,959,139175834
188,76,461,6586768
270,646,984,171629280
47,523,257,6317317
298,767,686,156796276
396,792,967,303282144
405,95,721,27740475
329,242,726,57802668
614,693,488,207644976
567,129,711,52004673
197,685,190,25639550
167,46,481,3695042
411,370,953,144922710
594,526,709,221522796
611,776,326,154568336
80,437,407,14228720
494,503,660,163998120
708,444,301,94619952
892,805,306,219726360
821,273,409,91670397
934,257,211,50648018
369,814,490,147179340
855,185,870,137612250
956,384,322,118207488
255,949,154,37267230
505,89,176,7910320
582,922,481,258106524
508,766,91,35410648
319,258,704,57940608
175,810,584,82782000
746,140,375,39165000
937,827,434,336306166
1000,248,531,131688000
301,402,678,82039356
353,243,845,72483255
87,849,273,20164599
772,244,166,31269088
378,773,807,235800558
341,410,430,60118300
410,817,945,316546650
600,889,245,130683000
147,686,979,98724318
792,401,442,140375664
223,33,14,103026
955,623,58,34507970
183,391,731,52305243
317,670,325,69026750
382,719,464,127441312
611,603,515,189742995
352,84,919,27172992
204,353,637,45871644
311,538,904,151255472
531,375,927,184588875
327,466,826,125867532
546,491,661,177204846
284,284,378,30487968
17,685,696,8104920
710,636,338,152627280
789,317,695,173828535
696,413,22,6323856
384,547,15,3150720
469,191,609,54553611
564,687,493,191021724
40,353,600,8472000
644,91,642,37623768
463,610,582,164374260
964,119,644,73877104
165,378,689,42972930
60,567,52,1769040
190,545,775,80251250
337,1000,555,187035000
921,671,667,412199997
937,665,640,398787200
301,85,959,24536015
498,49,450,10980900
168,370,431,26790960
805,345,277,76929825
430,860,622,230015600
690,413,975,277845750
57,241,229,3145773
208,401,206,17182048
699,79,122,6736962
201,161,529,17118969
46,437,126,2532852
292,853,287,71484812
320,19,489,2973120
865,595,354,182194950
349,626,937,204710138
420,139,826,48221880
745,846,333,209879910
340,251,439,37464260
347,762,800,211531200
874,947,351,290514978
162,547,784,69473376
960,122,326,38181120
1000,670,125,83750000
579,275,64,10190400
970,29,698,19634740
852,664,684,386957952
279,598,759,126633078
585,259,318,48181770
299,39,79,921219
149,753,387,43420239
959,748,459,329255388
517,459,601,142619103
816,88,294,21111552
294,196,941,54224184
462,205,991,93857610
774,332,524,134651232
952,198,152,28651392
534,783,183,76516326
741,799,363,214917417
972,361,145,50879340
436,47,234,4795128
723,561,683,277026849
860,936,616,495855360
565,247,407,56798885
553,492,940,255751440
416,10,823,3423680
839,782,433,284090434
256,699,352,62988288
124,309,306,11724696
184,749,832,114662912
769,72,691,38259288
585,760,438,194734800
631,182,782,89806444
533,313,953,158988037
889,394,252,88267032
831,639,263,139655367
829,980,127,103177340
234,24,447,2510352
984,603,169,100276488
440,589,891,230911560
916,170,938,146065360
321,149,316,15113964
897,407,99,36142821
322,65,553,11574290
158,887,421,59001466
623,555,726,251025390
994,356,582,205948848
204,696,725,102938400
141,664,122,11422128
218,771,598,100510644
10,609,85,517650
985,633,695,433335975
658,913,216,129762864
408,370,80,12076800
52,306,316,5028192
944,243,197,45190224
49,277,678,9202494
956,153,454,66405672
18,14,885,223020
846,930,432,339888960
879,68,114,6814008
117,531,563,34977501
109,930,11,1115070
1000,954,661,630594000
865,269,741,172419585
594,981,889,518032746
955,532,989,502471340
483,941,963,437686389
901,109,464,45568976
122,875,677,72269750
55,91,586,2932930
989,342,940,317943720
26,434,775,8745100
942,421,354,140390028
249,117,190,5535270
664,284,113,21309088
216,651,417,58636872
986,221,573,124860138
548,498,339,92514456
307,653,496,99433616
218,693,771,116478054
410,468,774,148515120
995,329,860,281525300
655,161,355,37436525
211,368,113,8774224
736,424,367,114527488
241,829,232,46351048
236,242,383,21873896
381,180,107,7338060
606,908,754,414886992
244,550,471,63208200
484,263,498,63391416
886,916,26,21100976
590,519,152,46543920
497,618,768,235888128
772,860,341,226396720
54,113,756,4613112
20,232,109,505760
129,887,146,16705758
395,721,722,205621990
729,655,634,302731830
884,540,94,44871840
65,510,819,27149850
454,619,859,241401334
871,876,297,226609812
199,446,647,57423838
790,50,219,8650500
7,726,377,1915914
926,243,196,44103528
706,865,349,213130810
580,321,386,71865480
830,38,895,28228300
647,975,451,284502075
776,496,550,211692800
168,507,746,63541296
712,462,479,157564176
379,187,177,12544521
625,499,644,200847500
127,89,144,1627632
545,431,579,136004205
191,517,714,70505358
526,22,712,8239264
628,295,10,1852600
376,50,663,12464400
671,477,201,64333467
944,659,9,5598864
127,803,613,62514353
396,485,833,159985980
194,511,808,80100272
550,779,902,386461900
420,421,771,136328220
139,837,83,9656469
845,791,125,83549375
955,988,363,342505020
392,729,740,211468320
654,344,676,152083776
348,352,176,21559296
748,645,580,279826800
335,721,693,167383755
517,814,405,170439390
583,154,884,79367288
208,195,663,26891280
112,792,862,76462848
773,436,309,104141652
912,569,315,163462320
793,773,520,318754280
985,344,629,213130360
207,51,664,7009848
628,25,655,10283500
896,58,485,25204480
520,534,999,277402320
652,121,675,53252100
671,996,59,39430644
788,388,243,74295792
339,799,675,182831175
600,181,428,46480800
553,623,14,4823266
950,117,279,31010850
372,25,339,3152700
895,481,911,392180945
97,876,63,5353236
560,840,678,318931200
37,672,73,1815072
926,41,36,1366776
727,910,546,361217220
72,726,628,32826816
389,190,4,295640
954,365,126,43874460
22,963,119,2521134
870,603,456,239222160
317,234,316,23440248
863,977,638,537930338
540,606,806,263755440
809,555,793,356053035
330,114,282,10608840
274,290,338,26857480
115,409,340,15991900
161,145,132,3081540
39,390,27,410670
661,248,335,54915880
959,626,74,44424716
123,491,95,5737335
778,373,344,99826736
75,625,605,28359375
811,20,83,1346260
851,457,160,62225120
554,135,797,59607630
575,173,648,64459800
428,223,338,32260072
194,60,540,6285600
597,822,257,126118638
708,105,774,57539160
462,615,211,59951430
39,232,56,506688
370,53,524,10275640
302,237,223,15961002
460,321,88,12994080
997,675,475,319663125
121,133,454,7306222
600,655,143,56199000
122,329,764,30665432
841,321,372,100425492
400,286,785,89804000
725,797,240,138678000
476,585,197,54856620
697,855,344,205001640
884,87,512,39376896
97,404,91,3566108
385,20,892,6868400
148,384,860,48875520
617,400,19,4689200
896,747,312,208825344
782,48,712,26725632
971,788,234,179044632
428,373,752,120052288
959,750,723,520017750
426,155,858,56653740
122,662,814,65741896
619,972,308,185313744
818,668,965,527299160
407,400,779,126821200
701,202,442,62588084
128,630,247,19918080
103,562,128,7409408
539,750,458,185146500
583,3,861,1505889
265,577,489,74770545
166,216,950,34063200
706,556,325,127574200
291,320,147,13688640
118,280,238,7863520
246,351,239,20636694
257,139,254,9073642
981,472,139,64361448
183,996,521,94961628
172,175,353,10625300
845,653,462,254924670
262,387,490,49683060
431,461,863,171470333
421,83,364,12719252
325,75,760,18525000
863,349,222,66863514
387,954,659,243301482
410,472,648,125400960
220,805,763,135127300
787,33,981,25477551
421,775,402,131162550
667,366,801,195541722
29,825,28,669900
504,372,355,66558240
500,868,158,68572000
733,913,92,61569068
856,146,810,101230560
750,96,537,38664000
120,852,210,21470400
697,864,953,573904224
455,793,811,292620965
961,381,372,136204452
263,85,11,245905
384,263,965,97457280
819,884,846,612500616
964,74,665,47438440
213,451,388,37272444
579,350,991,200826150
64,125,870,6960000
725,120,168,14616000
166,445,75,5540250
914,590,973,524699980
500,278,895,124405000
166,245,440,17894800
960,305,334,97795200
863,802,811,561314186
695,522,313,113553270
114,899,768,78709248
863,252,777,168978852
14,981,806,11069604
831,608,765,386514720
289,775,118,26429050
848,342,115,33351840
294,174,264,13505184
85,262,855,19040850
646,716,242,111933712
206,734,774,117031896
395,486,470,90225900
724,55,406,16166920
708,541,589,225603492
91,43,247,966511
836,446,923,344146088
585,109,624,39789360
516,348,787,141320016
180,913,109,17913060
272,148,807,32486592
488,723,339,119607336
763,116,960,84967680
197,778,20,3065320
809,180,264,38443680
394,373,596,87589352
294,305,490,43938300
648,793,356,182935584
576,855,722,355570560
904,750,36,24408000
353,298,590,62064460
405,777,622,195734070
878,65,745,42517150
518,915,805,381545850
509,50,520,13234000
810,901,298,217483380
951,490,150,69898500
696,933,286,185719248
266,693,43,7926534
483,492,150,35645400
50,513,966,24777900
883,30,834,22092660
248,393,855,83331720
545,204,638,70932840
41,390,594,9498060
775,321,474,117919350
220,39,211,1810380
116,803,828,77126544
147,623,511,46797891
606,339,96,19721664
279,483,904,121820328
700,792,619,343173600
564,646,551,200753544
25,429,834,8944650
880,449,626,247345120
209,706,285,42052890
350,403,574,80962700
877,394,399,137869662
802,733,63,37035558
442,26,2,22984
436,489,250,53301000
495,834,201,82978830
962,454,177,77304396
41,814,633,21125742
398,828,332,109408608
548,466,20,5107360
634,473,229,68672978
895,745,735,490079625
974,599,755,440486630
695,597,426,176753790
171,881,760,114494760
120,478,647,37111920
120,232,144,4008960
715,23,81,1332045
830,728,578,349250720
985,277,10,2728450
606,899,450,245157300
905,877,861,683362785
559,128,179,12807808
910,162,961,141670620
803,787,884,558653524
407,543,162,35802162
128,161,523,10777984
673,631,343,145659409
874,278,708,172024176
213,454,806,77941812
912,933,99,84238704
507,629,915,291796245
409,715,469,137152015
643,48,759,23425776
360,389,835,116933400
415,626,440,114307600
54,767,698,28909764
24,820,738,14523840
17,57,76,73644
280,953,3,800520
89,143,460,5854420
423,275,60,6979500
128,849,499,54227328
712,868,228,140907648
570,819,259,120908970
369,486,670,120153780
119,972,803,92881404
819,174,242,34486452
974,819,399,318284694
329,499,934,153335714
703,765,61,32805495
171,617,193,20362851
194,836,749,121475816
372,194,950,68559600
468,156,828,60450624
965,569,732,401930220
469,385,733,132354145
876,673,809,476944332
132,504,109,7251552
375,654,183,44880750
719,836,877,527150668
819,790,403,260745030
797,699,790,440111370
466,833,280,108689840
920,746,685,470129200
279,368,234,24025248
374,272,571,58086688
226,726,476,78100176
239,498,512,60939264
484,700,222,75213600
743,964,897,642478044
119,242,402,11576796
751,352,263,69524576
959,60,675,38839500
930,697,916,593760360
741,871,57,36788427
48,901,513,22186224
357,89,789,25068897
573,913,191,99921459
484,250,247,29887000
714,832,927,550682496
1000,75,689,51675000
35,254,382,3395980
678,323,185,40513890
904,344,277,86140352
773,600,442,204999600
501,966,195,94373370
679,915,336,208751760
511,114,319,18583026
398,892,574,203779184
237,871,322,66469494
306,740,97,21964680
384,999,33,12659328
999,228,787,179256564
200,321,685,43977000
961,301,822,237772542
770,511,214,84202580
960,894,523,448859520
257,892,457,104764508
595,50,927,27578250
831,167,324,44963748
348,53,955,17614020
575,281,275,44433125
796,866,712,490807232
692,756,393,205598736
778,58,713,32173412
790,390,662,203962200
207,532,935,102965940
33,698,751,17298534
519,101,491,25737729
122,687,545,45678630
294,233,186,12741372
597,672,964,386741376
101,177,941,16822257
696,666,608,281829888
876,496,276,119920896
465,355,100,16507500
611,910,523,290793230
397,747,529,156879711
960,927,224,199342080
316,655,107,22146860
277,400,201,22270800
151,183,356,9837348
101,225,181,4113225
730,33,674,16236660
33,781,562,14484426
588,770,172,77874720
506,504,695,177241680
47,589,34,941222
565,622,695,244243850
523,575,202,60746450
742,589,24,10488912
792,990,987,773886960
228,798,223,40573512
501,340,370,63025800
272,145,185,7296400
603,428,624,161044416
95,504,563,26956440
915,319,131,38236935
72,64,781,3598848
305,828,532,134351280
114,72,642,5269536
141,267,529,19915263
266,87,480,11108160
318,215,903,61738110
997,433,463,199877563
509,447,54,12286242
178,367,416,27175616
302,447,740,99895560
689,18,457,5667714
235,469,970,106908550
670,293,425,83431750
394,637,762,191245236
757,269,219,44595627
178,330,283,16623420
770,941,392,284031440
6,335,306,615060
133,231,193,5929539
709,60,778,33096120
551,390,596,128074440
323,537,349,60534399
691,871,414,249170454
336,9,219,662256
386,402,781,121189332
934,231,135,29126790
927,26,92,2217384
454,593,641,172571302
409,717,863,253077339
494,592,41,11990368
108,371,805,32254740
855,714,108,65930760
118,715,970,81838900
616,602,431,159828592
933,783,918,670634802
486,860,702,293407920
640,467,425,127024000
159,938,68,10141656
794,506,59,23704076
693,949,578,380125746
916,442,80,32389760
295,942,573,159230970
909,186,601,101613474
490,732,12,4304160
604,450,473,128561400
537,144,266,20569248
486,683,463,153687294
865,421,632,230152280
94,231,954,20715156
581,423,343,84296709
453,710,907,291718410
503,753,849,321566391
695,93,869,56167815
593,73,720,31168080
636,342,175,38064600
423,895,79,29908215
986,152,569,85277168
406,294,3,358092
10,303,367,1112010
557,398,310,68722660
48,369,180,3188160
694,915,644,408946440
756,38,677,19448856
851,771,371,243420891
289,951,207,56891673
663,173,813,93250287
526,316,137,22771592
603,253,601,91687959
752,72,70,3790080
617,670,946,391066940
716,523,190,71148920
224,888,458,91101696
374,440,15,2468400
927,199,792,146102616
205,30,19,116850
845,185,490,76599250
50,499,925,23078750
288,691,898,178709184
326,922,973,292456556
505,184,87,8084040
146,446,467,30409172
607,749,490,222775070
471,222,295,30845790
847,604,676,345833488
836,969,342,277048728
364,484,208,36644608
846,679,750,430825500
618,744,797,366454224
486,416,739,149408064
972,732,914,650314656
797,633,206,103927206
137,804,852,93846096
805,693,655,365401575
540,776,483,202396320
260,671,845,147418700
417,679,191,54080313
919,202,288,53463744
477,511,351,85555197
327,80,198,5179680
625,398,75,18656250
195,602,544,63860160
509,63,288,9235296
740,639,859,406186740
767,173,395,52412945
660,792,164,85726080
154,779,362,43427692
592,7,678,2809632
295,588,855,148308300
693,605,354,148419810
686,914,351,220078404
436,192,272,22769664
823,796,843,552256044
172,391,511,34365772
651,481,647,202595757
844,39,391,12870156
636,842,568,304170816
518,94,631,30724652
629,210,110,14529900
601,123,272,20107056
38,283,13,139802
909,455,472,195216840
767,606,507,235654614
205,849,338,58827210
963,209,682,137264094
168,87,730,10669680
524,265,549,76234140
604,993,856,513404832
844,582,603,296198424
189,965,350,63834750
785,693,238,129473190
667,33,415,9134565
917,920,781,658882840
424,259,126,13836816
192,685,497,65365440
237,214,310,15722580
469,385,273,49294245
52,991,7,360724
542,694,435,163624380
106,601,80,5096480
301,593,819,146185767
351,155,531,28889055
512,877,965,433308160
367,845,749,232276135
35,119,480,1999200
139,118,866,14204132
958,270,618,159851880
211,309,156,10171044
671,454,17,5178778
58,533,783,24205662
49,820,192,7714560
475,464,432,95212800
706,862,443,269597396
615,357,487,106923285
569,410,633,147672570
973,688,242,162000608
411,458,822,154731636
148,172,668,17004608
414,178,787,57995604
674,200,187,25207600
605,141,425,36254625
288,490,387,54613440
358,81,788,22850424
807,796,924,593551728
376,879,173,57177192
327,211,836,57681492
289,391,900,101699100
139,525,565,41230875
24,367,436,3840288
26,378,954,9375912
64,22,755,1063040
271,618,621,104003838
141,464,986,64508064
455,144,545,35708400
256,49,603,7564032
329,542,963,171720234
215,3,870,561150
948,34,972,31329504
307,929,313,89268539
913,311,891,252993213
393,758,512,152521728
713,476,484,164263792
274,694,393,74731308
405,239,528,51107760
858,780,777,519999480
383,746,615,175716570
160,617,203,20040160
395,630,111,27622350
146,409,172,10270808
505,868,312,136762080
676,122,929,76616488
844,52,176,7724288
638,992,420,265816320
497,257,933,119171157
486,576,414,115893504
25,428,59,631300
428,66,805,22739640
794,633,234,117608868
176,256,361,16265216
757,445,779,262417835
27,609,773,12710439
689,699,829,399255519
135,9,171,207765
362,764,551,152388968
544,428,21,4889472
413,513,632,133901208
949,572,981,532514268
566,524,205,60799720
421,727,784,239956528
272,707,459,88267536
319,869,5,1386055
165,728,992,119159040
532,409,808,175811104
573,19,179,1948773
220,543,954,113964840
1,98,228,22344
152,89,936,12662208
956,439,684,287063856
269,10,562,1511780
972,94,807,73733976
76,217,671,11066132
382,704,8,2151424
830,943,918,718509420
283,427,747,90268227
287,839,201,48399393
270,407,431,47362590
367,788,144,41644224
77,22,901,1526294
969,338,915,299682630
782,650,705,358351500
344,707,271,65909368
600,87,634,33094800
190,65,836,10324600
476,379,22,3968888
973,801,479,373319667
641,732,434,203638008
706,363,663,169912314
472,222,336,35207424
11,846,641,5965146
42,34,864,1233792
642,949,235,143175630
26,758,555,10937940
500,380,549,104310000
368,843,369,114472656
356,360,944,120983040
860,780,174,116719200
413,806,407,135481346
77,418,691,22240526
332,454,958,144397424
402,899,262,94686276
197,798,616,96838896
539,750,620,250635000
608,181,812,89358976
624,979,43,26268528
986,817,170,136945540
320,812,885,229958400
396,499,103,20353212
605,9,923,5025735
987,130,609,78140790
321,463,498,74014254
276,252,760,52859520
191,604,963,111095532
571,98,403,22551074
18,955,179,3077010
655,134,123,10795710
612,364,579,128982672
868,785,275,187379500
197,48,775,7328400
25,990,529,13092750
450,428,328,63172800
441,726,351,112378266
166,622,803,82911356
450,783,525,184983750
262,978,725,185771100
834,785,677,443225130
920,874,666,535517280
393,657,232,59902632
441,389,326,55924974
719,301,213,46097247
129,774,708,70690968
63,526,98,3247524
249,310,880,67927200
990,949,197,185083470
1000,47,113,5311000
102,33,663,2231658
211,965,804,163706460
675,313,163,34437825
352,874,570,175359360
194,464,9,810144
555,500,883,245032500
777,364,210,59393880
993,211,290,60761670
840,169,643,91280280
32,441,523,7380576
335,308,228,23525040
190,41,992,7727680
845,619,885,462903675
203,643,263,34329127
211,159,315,10567935
469,127,729,43421427
395,433,45,7696575
359,820,417,122756460
824,71,571,33405784
717,803,880,506660880
665,179,482,57374870
493,164,688,55626176
209,828,744,128750688
99,584,711,41107176
144,772,266,29570688
420,757,413,131309220
702,819,131,75316878
778,588,98,44831472
954,721,77,52963218
420,166,343,23913960
77,227,694,12130426
455,669,499,151893105
841,929,346,270325994
377,908,283,96875428
105,371,803,31280865
84,703,228,13463856
284,751,830,177025720
639,777,222,110223666
47,122,393,2253462
982,567,528,293987232
845,277,971,227277115
380,765,789,229362300
152,528,585,46949760
604,462,869,242492712
477,204,157,15277356
898,942,470,397580520
194,53,170,1747940
638,207,904,119387664
439,306,824,110691216
415,157,573,37333815
977,451,658,289932566
4,795,157,499260
23,446,397,4072426
23,553,660,8394540
361,794,104,29809936
26,561,8,116688
23,115,504,1333080
76,762,891,51599592
816,190,327,50698080
588,753,798,353325672
943,771,742,539473326
275,512,719,101235200
264,655,295,51011400
705,740,652,340148400
123,662,161,13109586
748,132,633,62499888
442,828,13,4757688
252,247,389,24212916
689,157,586,63389378
535,626,255,85402050
408,670,92,25149120
314,517,226,36688388
650,236,263,40344200
644,473,956,291209072
813,385,991,310187955
749,938,501,351983562
333,338,639,71922006
999,509,20,10169820
468,778,96,34953984
489,306,2,299268
793,117,275,25514775
582,612,906,322702704
948,11,57,594396
186,86,343,5486628
503,623,94,29456686
474,576,717,195758208
955,9,696,5982120
7,110,374,287980
72,692,371,18484704
764,771,920,541920480
799,249,780,155181780
269,79,862,18318362
398,776,685,211560880
202,602,788,95823952
10,419,674,2824060
813,424,521,179594952
787,599,651,306889863
979,873,10,8546670
693,119,384,31667328
667,356,295,70048340
164,930,954,145504080
756,525,936,371498400
678,735,74,36876420
320,710,685,155632000
669,706,979,462395406
815,816,490,325869600
717,308,548,121018128
328,191,18,1127664
614,861,325,171812550
516,565,948,276379920
822,488,588,235867968
878,230,940,189823600
60,44,544,1436160
973,409,890,354181730
819,820,516,346535280
456,737,541,181814952
793,94,802,59782684
449,325,702,102439350
256,655,401,67239680
787,715,998,561579590
890,174,848,131321280
41,973,315,12566295
998,466,153,71155404
12,307,60,221040
947,543,524,269451804
335,244,784,64084160
541,79,854,36499106
947,812,584,449074976
235,25,3,17625
831,133,496,54819408
983,418,139,57114266
599,937,540,303082020
944,965,549,500117040
988,991,614,601172312
601,186,278,31076508
733,865,363,230158335
630,338,679,144586260
640,168,924,99348480
140,727,769,78268820
176,670,648,76412160
60,428,886,22752480
103,651,97,6504141
417,747,623,194063877
794,890,239,168891740
176,470,483,39953760
338,430,262,38079080
916,756,792,548456832
858,965,260,215272200
167,418,526,36717956
66,834,236,12990384
198,421,665,55433070
714,466,289,96157236
574,799,220,100897720
592,149,604,53277632
224,640,710,101785600
275,673,525,97164375
72,429,573,17698824
941,830,708,552969240
971,429,815,339495585
539,366,32,6312768
271,340,301,27734140
440,889,908,355173280
87,231,379,7616763
635,446,743,210425030
614,280,41,7048720
363,19,176,1213872
658,249,270,44237340
869,12,232,2419296
831,207,693,119207781
65,497,969,31303545
201,599,609,73322991
297,710,326,68743620
260,142,428,15801760
868,857,83,61741708
366,526,779,149969964
186,792,902,132875424
557,699,567,220757481
256,248,624,39616512
593,584,302,104586224
827,961,358,284519426
742,64,675,32054400
835,194,484,78403160
658,279,635,116574570
827,945,562,439211430
865,926,520,416514800
324,384,569,70792704
345,999,890,306742950
592,667,607,239682448
836,165,710,97937400
213,238,873,44255862
39,141,995,5471505
173,688,409,48680816
349,227,116,9189868
150,899,263,35465550
363,492,126,22503096
525,210,556,61299000
699,387,800,216410400
284,111,850,26795400
544,535,341,99244640
942,648,264,161149824
185,562,307,31918790
661,896,59,34943104
227,957,375,81464625
468,7,961,3148236
522,738,346,133291656
292,406,690,81800880
797,911,105,76237035
557,81,682,30769794
894,772,535,369239880
95,442,319,13394810
691,954,463,305216082
484,18,759,6612408
167,246,248,10188336
828,673,264,147112416
935,738,701,483711030
869,340,699,206526540
363,735,351,93648555
129,390,220,11068200
701,127,336,29913072
944,358,72,24332544
525,857,703,316297275
940,163,751,115068220
103,7,148,106708
526,154,48,3888192
186,855,83,13199490
297,354,745,78327810
890,580,664,342756800
10,386,384,1482240
852,516,157,69022224
72,993,216,15443136
920,608,57,31883520
459,852,893,349223724
844,894,155,116953080
685,109,198,14783670
601,973,615,359635395
533,238,976,123809504
25,502,521,6538550
785,227,962,171423590
141,267,891,33543477
136,839,955,108969320
645,629,338,137128290
692,624,702,303129216
704,247,533,92682304
402,493,779,154386894
43,8,825,283800
998,45,536,24071760
476,638,706,214403728
581,418,326,79171708
