Y,X1,X2,X3
10806516,57,518,366
251031180,578,930,467
92302272,592,183,852
63779716,221,308,937
335481300,693,940,515
1618128,6,408,661
3997818,993,11,366
132365536,376,668,527
318760446,849,694,541
343723200,709,960,505
17079048,168,987,103
544139904,956,784,726
64431360,680,564,168
107988480,192,654,860
275024142,673,933,438
380052288,672,902,627
29971984,427,856,82
322952292,598,657,822
168963165,945,321,557
80691930,909,538,165
83767930,127,929,710
61867800,402,225,684
305688768,682,609,736
298859988,811,574,642
193349322,397,783,622
157093128,414,412,921
70451208,978,108,667
127257200,376,350,967
13509912,689,38,516
39332202,861,502,91
127968000,186,860,800
50424000,176,573,500
31331448,908,639,54
33280324,893,154,242
363209610,463,790,993
92008446,789,586,199
77434896,574,168,803
1309176,9,836,174
130416000,715,480,380
152949654,377,683,594
45107370,759,105,566
10338888,492,158,133
65488815,749,201,435
29268681,129,403,563
20761440,592,835,42
32830581,777,47,899
49042560,140,712,492
46433466,894,87,597
16966782,623,306,89
3888808,413,22,428
3658176,292,18,696
231400320,640,631,573
18552820,65,998,286
89304768,483,214,864
617862,141,626,7
61144128,152,453,888
98624136,786,254,494
10093134,123,461,178
196944320,410,883,544
94643640,756,234,535
114039900,741,684,225
182103600,475,978,392
6202588,89,524,133
339690000,871,600,650
29198048,352,761,109
222073280,715,422,736
339124968,729,852,546
232773288,937,941,264
1091808,223,408,12
39585024,368,108,996
1896048,72,33,798
2634291,33,649,123
162792000,850,665,288
4904658,253,359,54
129857152,272,719,664
199970488,397,632,797
99354003,337,417,707
82112688,477,424,406
322487480,956,610,553
250919680,502,568,880
63622217,317,419,479
459195968,688,847,788
140768928,421,516,648
152578094,323,589,802
39975568,212,236,799
61519598,574,427,251
151039238,223,958,707
272779164,658,486,853
48161568,296,447,364
67802976,311,757,288
274178740,836,445,737
39453876,66,993,602
175536288,969,888,204
726794208,861,864,977
424242000,925,630,728
472020500,628,859,875
520493820,565,997,924
41585680,380,218,502
202293000,520,475,819
363242880,896,429,945
93911250,250,395,951
156644928,648,328,737
136626600,762,815,220
8938752,452,824,24
62252379,397,399,393
107589975,291,575,643
34680100,650,206,259
63580832,328,322,602
42214648,376,301,373
161565661,733,227,971
238374105,485,947,519
10586160,676,54,290
298361856,496,723,832
60995928,679,394,228
256410,777,33,10
90820800,901,480,210
7472520,459,185,88
537068952,828,866,749
670841920,812,920,898
102689136,723,538,264
83253393,951,137,639
183973428,971,831,228
583905120,680,878,978
34619742,206,789,213
7157025,461,23,675
171570000,950,903,200
606799720,947,772,830
111366090,495,522,431
170694048,277,917,672
292349136,842,552,629
475969536,896,744,714
2338557,983,61,39
27867840,320,957,91
9207000,837,40,275
11107980,65,282,606
23633876,697,173,196
203312460,780,277,941
132554016,707,378,496
18826076,439,604,71
6091160,89,295,232
109889352,261,662,636
49167984,93,692,764
195919764,983,204,977
383976320,728,694,760
166834668,301,561,988
9949230,27,519,710
579023952,962,744,809
275238600,300,994,923
4480,112,40,1
143970600,570,692,365
384953704,668,934,617
167243280,272,895,687
254563134,961,371,714
31862590,493,562,115
784582092,933,846,994
136138320,324,940,447
239958180,495,609,796
2183860,140,821,19
316524580,677,970,482
732720,142,120,43
404964774,801,563,898
392824608,902,633,688
156008160,938,385,432
69876576,322,822,264
193734558,579,522,641
433558575,753,853,675
30440952,174,239,732
10106499,897,19,593
146696508,852,911,189
56125629,189,553,537
604470636,998,966,627
179696314,617,293,994
8218242,306,251,107
196464512,289,752,904
7778560,236,40,824
18548917,223,373,223
397519500,850,510,917
57763819,589,101,971
37533860,503,82,910
138833352,378,723,508
109269336,388,753,374
6731340,141,124,385
55202400,408,550,246
104702625,375,729,383
53942520,401,152,885
183472506,511,549,654
175257900,831,285,740
11396715,187,717,85
34521600,240,310,464
223239840,460,876,554
18655054,314,491,121
446292992,664,712,944
1630475,35,121,385
66662640,886,627,120
19002600,510,60,621
2946384,126,74,316
30697700,275,118,946
4368936,12,494,737
529923044,742,734,973
49300744,824,67,893
505303680,786,784,820
122165267,329,827,449
284226086,593,734,653
130695936,896,906,161
38049648,78,562,868
129943470,823,554,285
126454464,976,708,183
92461500,761,125,972
420829344,543,864,897
259385760,619,720,582
48751668,953,348,147
255347950,503,781,650
185411420,478,395,982
59068440,354,515,324
1349205,663,37,55
217227000,925,570,412
144724554,403,843,426
13314672,408,777,42
20968640,407,92,560
3195344,457,46,152
118457200,155,932,820
66934194,367,269,678
11643520,565,736,28
177054736,334,989,536
91650060,306,491,610
256777290,630,759,537
18548652,309,86,698
57613728,678,904,94
259944230,910,331,863
227873100,780,491,595
224393520,897,472,530
43056888,266,564,287
461477484,751,909,676
76878144,829,168,552
269099520,947,888,320
323755250,749,950,455
165707640,945,953,184
322160350,521,830,745
58121280,930,93,672
4165200,890,24,195
506031376,916,668,827
9702576,71,219,624
46115706,623,219,338
31681572,754,47,894
38636780,497,92,845
11581285,905,67,191
3272040,6,894,610
13900338,859,522,31
11952360,204,105,558
147602500,425,604,575
412912264,866,599,796
1260672,42,224,134
112975200,650,639,272
3894352,22,872,203
9657375,35,975,283
113245440,383,672,440
433601520,965,814,552
389290496,944,526,784
24660130,830,73,407
61653048,479,519,248
137136741,863,483,329
10331750,275,578,65
57376018,499,382,301
239658860,997,340,707
641300352,896,759,943
239367747,733,597,547
1159338,186,271,23
50663184,244,572,363
377684104,644,799,734
174580296,902,508,381
98334000,607,750,216
10656618,541,147,134
150074100,652,775,297
229533978,502,881,519
65464200,486,300,449
29524704,766,264,146
2254980,30,767,98
108703423,263,697,593
19470451,367,143,371
583665000,750,835,932
53886056,529,856,119
117400832,508,628,368
63433788,803,116,681
26622000,850,870,36
67437108,766,134,657
21805194,274,123,647
121526615,343,371,955
116861940,234,895,558
117725615,179,665,989
346390180,590,787,746
462898140,926,570,877
323414224,644,892,563
12449619,243,91,563
95823540,870,211,522
48139920,368,405,323
38665584,376,197,522
31526376,322,597,164
244147200,320,935,816
439119,9,97,503
143800056,947,296,513
96347840,136,995,712
442715490,981,735,614
1062600,276,5,770
363960540,810,942,477
304299996,987,637,484
27047724,253,354,302
176389416,833,408,519
180725742,822,479,459
85318750,170,625,803
14868735,203,285,257
43882410,429,965,106
4931260,683,380,19
177627780,283,660,951
5729680,40,374,383
593362280,995,644,926
6489756,566,182,63
322057775,821,425,923
15345209,253,463,131
28087776,342,464,177
4248096,548,68,114
409433220,549,980,761
263800950,525,554,907
7950096,717,504,22
94101332,556,611,277
168049200,880,435,439
12471336,886,306,46
3213318,38,397,213
51002946,603,333,254
1972984,26,622,122
2776310,10,313,887
8795358,297,34,871
138101040,264,742,705
784947,293,141,19
48758760,216,447,505
88564520,302,310,946
1401174,17,241,342
13109040,867,180,84
426119648,521,838,976
378608032,968,706,554
27401016,523,148,354
175577220,390,567,794
114653160,681,345,488
88426176,564,328,478
118749666,339,382,917
3028608,239,144,88
51830800,700,173,428
2938388,46,779,82
68569210,713,815,118
121402440,717,249,680
329906860,745,596,743
14186400,800,23,771
104488041,721,469,309
59556108,874,82,831
348086130,937,427,870
75348000,728,500,207
801900,396,25,81
150534080,565,724,368
18723390,542,35,987
3043950,105,223,130
102086784,271,436,864
117614700,900,343,381
70802424,726,189,516
9102808,52,803,218
20528640,440,243,192
556240388,979,814,698
170697550,431,890,445
179714502,589,603,506
261882858,502,901,579
5413604,203,59,452
76896000,864,712,125
235739,283,119,7
55117420,211,353,740
339206420,985,686,502
68638284,286,597,402
629325560,914,796,865
26508000,376,470,150
101774170,890,661,173
3898440,840,7,663
11647240,110,257,412
52966656,711,768,97
332234100,666,907,550
14762160,261,505,112
140719545,545,657,393
8679040,284,32,955
601796412,654,981,938
3809260,322,70,169
11290240,299,640,59
157290576,904,617,282
2550680,44,682,85
130559040,730,207,864
146912490,831,710,249
99716760,745,507,264
28046088,63,458,972
161717790,334,845,573
228065544,734,411,756
15199360,170,176,508
3447192,284,867,14
97069500,275,370,954
26045538,362,87,827
18221000,190,140,685
69221230,130,617,863
129120088,482,772,347
1551744,898,18,96
55409334,563,282,349
309355200,675,651,704
163069920,562,310,936
27508240,568,290,167
54056016,978,188,294
61212736,767,688,116
41948928,128,714,459
215379756,282,843,906
96904080,459,464,455
81903680,722,160,709
58287390,119,870,563
50916755,277,485,379
107725836,348,313,989
60506360,268,422,535
10014840,198,60,843
34594560,144,728,330
40869360,795,476,108
103130820,830,354,351
385570710,833,695,666
121189800,309,530,740
2849088,57,64,781
86574136,668,946,137
334526283,767,441,989
108465336,738,812,181
194099129,553,941,373
89130600,879,650,156
115336944,778,522,284
271164984,394,996,691
141242816,488,968,299
282272992,614,944,487
43488000,302,360,400
15155920,494,118,260
21084585,285,167,443
95641150,170,965,583
188752564,413,611,748
3909280,530,16,461
697670820,987,918,770
90583360,742,160,763
10686500,275,134,290
213820860,565,564,671
1060101,79,189,71
69532176,259,987,272
212381304,382,642,866
240054750,435,849,650
373901007,681,677,811
6625000,500,106,125
9711556,62,578,271
77815058,103,757,998
357490628,484,913,809
22232112,508,521,84
295832628,971,558,546
58119390,191,378,805
138473280,372,528,705
30069600,935,80,402
272978760,505,606,892
6545925,619,235,45
118988115,797,185,807
322270704,632,639,798
317593500,980,435,745
139605588,643,652,333
7911360,134,615,96
4901130,710,117,59
157512960,660,452,528
6636168,57,216,539
42256310,601,178,395
398484660,966,710,581
142100280,280,963,527
49135680,940,66,792
408025800,900,658,689
43582500,894,375,130
89986512,388,251,924
843392032,919,952,964
105318876,663,263,604
26593533,993,339,79
46756160,718,80,814
369568485,605,897,681
42091245,243,707,245
21539895,87,845,293
226315094,607,673,554
7814820,233,129,260
31651900,175,878,206
8710800,244,420,85
33855276,602,618,91
20249856,792,544,47
218314850,859,575,442
39068568,693,58,972
129907183,563,833,277
230472774,809,882,323
62547776,316,278,712
15594810,462,785,43
61560000,270,375,608
146809152,916,424,378
1951248,944,3,689
124198620,460,559,483
810356,4,701,289
225123542,623,487,742
124884720,171,816,895
54020400,545,120,826
346060000,715,968,500
26370036,567,151,308
134296680,232,777,745
155800000,320,779,625
7862400,75,168,624
1035918,6,741,233
264397330,691,922,415
67990557,519,269,487
169442562,538,831,379
17998604,149,202,598
5770935,771,499,15
246111040,920,562,476
7857740,85,121,764
16856625,395,569,75
5780880,360,217,74
24990000,50,850,588
146454987,383,417,917
2558402,11,898,259
323201478,997,582,557
598671,57,389,27
25835187,267,601,161
1849925,35,341,155
24706232,874,764,37
371675600,716,725,716
1794528,9,992,201
11182320,186,360,167
76448320,376,884,230
13129542,963,17,802
137008116,404,769,441
565584390,607,986,945
200814880,796,595,424
499564,676,739,1
7823376,99,176,449
206120453,649,413,769
6081838,259,118,199
153539400,789,200,973
640545360,780,973,844
1794474,318,99,57
186511080,680,353,777
13751910,477,465,62
8918184,726,166,74
57531000,254,500,453
63074000,671,1000,94
684871200,900,813,936
219704200,295,860,866
4774502,313,263,58
560175,3,679,275
139650,105,19,70
23969125,569,125,337
294233940,966,923,330
219336,988,1,222
2187528,24,449,203
2793600,194,80,180
128885328,264,858,569
151453068,442,382,897
24558534,282,609,143
34932297,129,289,937
161947968,598,336,806
43877052,367,729,164
549831100,925,644,923
19222203,777,143,173
751096004,932,947,851
174554016,754,689,336
110228400,450,457,536
75456000,300,640,393
385335531,497,831,933
71002848,804,332,266
79535610,759,499,210
190803942,294,953,681
42088500,423,398,250
270072000,726,775,480
131531040,995,243,544
187045524,564,519,639
22928184,863,984,27
277891152,616,467,966
279881600,587,800,596
189715815,961,615,321
46196220,827,114,490
6806574,207,82,401
19046664,884,378,57
16159248,34,644,738
733824,9,182,448
138636960,560,682,363
70590084,489,604,239
175591588,773,521,436
17928960,640,46,609
74584566,882,821,103
933120,135,256,27
273016782,577,873,542
20169996,83,263,924
5442789,253,303,71
42233856,491,256,336
211240640,884,464,515
68484480,673,320,318
15957600,40,915,436
31876740,45,937,756
38342640,787,56,870
421742555,857,871,565
426628800,860,689,720
161544000,508,1000,318
15343008,96,883,181
46056465,195,489,483
330199872,618,566,944
5544936,516,54,199
213532032,703,384,791
66315858,314,791,267
13311870,65,642,319
421429920,647,920,708
10567375,455,25,929
34162644,426,397,202
1891404,18,633,166
10588724,373,47,604
43127820,708,655,93
115926440,329,460,766
9868196,13,851,892
368917137,939,757,519
784392,203,23,168
188862036,309,638,958
58090950,501,773,150
479392,211,568,4
9961560,40,469,531
179038485,239,837,895
112248576,412,774,352
8950258,62,599,241
181193220,468,795,487
17167260,370,418,111
2970400,940,20,158
69124400,580,590,202
164839038,301,663,826
586373040,783,880,851
778483200,960,970,836
128441370,501,310,827
37882732,269,218,646
116200656,456,858,297
4529492,11,911,452
92484288,368,716,351
9727335,589,45,367
121007370,321,745,506
2622000,456,230,25
38356000,223,172,1000
153831600,760,585,346
63888618,241,678,391
584136,21,114,244
114340912,782,196,746
82180890,114,771,935
17472336,112,447,349
116237440,968,395,304
13374774,41,378,863
93705872,524,494,362
22069575,165,241,555
151568956,308,847,581
37719192,94,476,843
46720800,144,618,525
53523483,507,461,229
300468000,490,730,840
45852998,263,358,487
307625568,848,618,587
527473058,994,701,757
312869732,622,854,589
308704,877,32,11
67901064,724,638,147
9692494,994,199,49
18045720,220,98,837
23703624,514,252,183
66528,3,48,462
10361120,28,580,638
198428670,297,710,941
355484,1,491,724
74248250,710,445,235
61698240,960,579,111
427628565,819,849,615
37335831,321,299,389
149668470,706,673,315
5998860,529,15,756
37344396,723,74,698
54403080,152,669,535
2890440,140,558,37
119569500,521,375,612
317972250,867,815,450
336739590,407,870,951
199755,15,69,193
179592180,789,380,599
9814896,856,637,18
136785168,178,821,936
241634400,532,757,600
423690848,592,763,938
381151134,703,819,662
76439574,334,531,431
186428970,910,221,927
147316832,481,544,563
314271400,433,955,760
75497886,453,423,394
52478988,683,228,337
17328168,44,918,429
213832080,980,261,836
18735024,137,777,176
59997896,646,217,428
2276532,36,107,591
75240,114,220,3
2026296,81,236,106
25692150,677,75,506
32780520,111,460,642
468730800,920,918,555
15547200,100,328,474
2844100,35,478,170
3069528,726,7,604
7407180,473,180,87
355368960,384,964,960
57665843,733,521,151
174460330,505,766,451
113751468,851,711,188
337079808,576,662,884
21685760,80,344,788
17169201,287,207,289
94371684,957,554,178
210082600,980,970,221
185021088,337,608,903
229285950,906,955,265
407765631,889,619,741
45776500,70,902,725
84537600,672,170,740
3469908,116,169,177
3144372,308,249,41
17103744,808,54,392
51006050,695,82,895
84803080,95,964,926
178835580,612,847,345
383518980,933,465,884
6488196,199,38,858
44822400,161,300,928
177408000,375,672,704
3448135,911,757,5
109396800,535,288,710
168536808,979,216,797
77252208,484,282,566
7625530,383,905,22
557436565,745,973,769
5249244,483,19,572
69726118,994,911,77
76726419,191,987,407
4271872,328,74,176
66164136,204,631,514
565640592,984,986,583
534407940,820,957,681
67737951,659,243,423
23707616,116,472,433
161936901,837,777,249
1610103,503,97,33
366056304,844,769,564
110968416,312,831,428
223224008,779,476,602
228359934,583,463,846
10046630,19,874,605
35761635,819,355,123
64351638,377,783,218
7290756,418,54,323
265350,58,5,915
44012568,271,404,402
5592405,119,65,723
201129120,394,720,709
10892160,558,61,320
175092288,444,503,784
1594800,443,5,720
27047370,555,413,118
18883872,119,928,171
315356160,980,419,768
7993935,401,45,443
71845500,227,750,422
104319072,442,596,396
291942000,662,750,588
2719584,38,72,994
38956302,243,347,462
20891134,121,998,173
83373423,357,409,571
6054114,62,807,121
87432696,873,321,312
591090000,915,950,680
637857792,968,792,832
136205630,677,682,295
63172608,512,424,291
43077600,150,372,772
47720970,817,66,885
69190656,446,808,192
109869312,856,191,672
7454760,584,111,115
251537832,382,871,756
53484480,960,147,379
49751520,670,136,546
7154082,86,117,711
78663924,333,292,809
4055760,30,393,344
60968312,691,269,328
675331426,833,946,857
526549716,791,738,902
10045413,951,21,503
17560752,66,632,421
21392124,569,482,78
33896940,506,435,154
237740503,917,407,637
63874124,397,551,292
28206900,837,337,100
12611730,955,426,31
67926936,979,147,472
115666767,981,751,157
5217210,339,81,190
85975400,175,566,868
125295120,817,270,568
316210824,732,618,699
6269688,93,424,159
36492064,272,518,259
63852954,73,957,914
83016626,701,769,154
115013548,404,793,359
10495236,178,317,186
12250812,782,373,42
150294144,858,184,952
26503488,89,564,528
2882474,7,878,469
308676096,827,432,864
90562560,737,384,320
5598762,78,401,179
72630458,106,713,961
152285640,871,470,372
7644780,605,156,81
34993962,166,397,531
144122370,690,371,563
936036,3,321,972
16502508,479,297,116
14601860,226,497,130
219092930,787,574,485
1926444,699,53,52
280999488,308,996,916
71559936,406,192,918
3366090,13,822,315
336364820,979,410,838
39173295,717,223,245
14376780,330,53,822
138716928,576,427,564
50757840,280,243,746
19183524,183,146,718
59699250,975,785,78
93020928,242,448,858
63064764,102,882,701
128088,593,1,216
70881174,182,981,397
78754194,738,639,167
56488736,568,188,529
225663570,930,387,627
66162600,413,360,445
280651125,725,591,655
60253056,813,772,96
18705276,37,558,906
36128664,429,348,242
143508456,686,596,351
9332658,111,346,243
301485888,544,933,594
184086000,875,974,216
1892100,35,60,901
134019090,705,358,531
26960170,61,458,965
252405720,718,434,810
176375160,669,312,845
58046625,405,455,315
95913324,764,481,261
121681280,865,314,448
156379300,322,883,550
192771150,946,275,741
28745175,787,487,75
3194100,91,780,45
276576825,699,931,425
1155150,302,75,51
40384804,76,769,691
97393408,184,952,556
295454964,763,732,529
66805560,435,474,324
50640480,414,695,176
110303872,401,448,614
12271168,784,28,559
84238185,983,145,591
3917486,334,317,37
150590400,229,822,800
55481184,792,166,422
127942272,288,556,799
51722400,937,736,75
343024470,859,783,510
254609820,309,930,886
17230216,796,158,137
25339392,128,564,351
62694000,516,900,135
84018388,661,172,739
238163275,749,805,395
112111824,968,194,597
239276268,973,486,506
74780475,161,563,825
189152106,247,902,849
68277600,900,174,436
80584686,414,897,217
167272560,414,780,518
51454180,655,164,479
494403750,771,855,750
173376672,734,336,703
301548800,800,742,508
52421600,920,70,814
211311396,877,828,291
183546000,675,880,309
58130364,452,163,789
4149464,44,773,122
13155076,187,172,409
52887120,572,268,345
104897280,708,160,926
46850440,610,422,182
3554460,39,930,98
18615732,516,43,839
10092000,150,464,145
339706872,648,991,529
472977256,838,596,947
345688965,629,885,621
101684276,646,746,211
378422220,759,514,970
600903,3,373,537
567224804,982,866,667
25365780,557,66,690
26820560,164,340,481
10296,52,198,1
74000,37,200,10
55735017,521,633,169
242235864,514,689,684
125722344,257,872,561
200314296,468,474,903
49963320,814,180,341
44701029,207,943,229
31264272,247,879,144
175394012,307,932,613
22995000,292,210,375
33392016,422,942,84
401984370,942,981,435
6535620,273,70,342
485020172,689,868,811
4870800,205,45,528
81397920,552,730,202
144661440,231,824,760
84175200,400,433,486
2702293,11,971,253
150715320,807,920,203
175325224,488,443,811
323218896,858,392,961
228804800,400,868,659
137541064,389,386,916
24498976,328,263,284
2849525,857,665,5
27688512,998,34,816
17714034,663,438,61
544318125,975,815,685
381062934,846,723,623
328422796,884,667,557
137683400,419,424,775
182550423,811,359,627
18121675,407,325,137
1017261,241,7,603
393439888,548,751,956
536817400,938,590,970
19378380,609,215,148
387129600,960,660,611
29928738,119,501,502
152249524,716,821,259
35429248,344,314,328
294017958,459,923,694
34006284,78,954,457
191013090,694,311,885
395913960,780,978,519
9337944,308,489,62
200373696,718,432,646
67774824,333,412,494
10716188,47,476,479
143925165,421,535,639
219381470,590,847,439
15027970,586,115,223
94804105,605,349,449
491417088,768,926,691
41715771,593,179,393
54107158,311,731,238
44896,8,23,244
31417842,113,622,447
49732080,488,215,474
189503226,418,783,579
54644544,254,996,216
288033368,553,524,994
49485200,772,641,100
96816720,715,868,156
124793460,298,810,517
236710592,568,904,461
82456190,433,274,695
104902000,635,350,472
77786880,282,320,862
